Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
71,0.4471875,0.0949583585,0.8351442056,2.5948220222,0.5999767743,0.12234375,0.0707712465,0.8463221768,2.2262204556,0.404323217,0.43046875,0.0539220991,0.3777254003,2.8676830897,-0.018605467,0.43046875,0.0539220991,0.3777254003,2.8676830897,-0.018605467,0.8777605606450003,0.8736307555
72,0.5430909091,0.1335102683,0.8429050647,2.267932865,-0.364820421,0.0943636364,0.0632962339,0.8338127504,2.8979117829,0.741840059,0.3625454545,0.0790217043,0.6718227081,2.330092052,0.0453373249,0.3625454545,0.0790217043,0.6718227081,2.330092052,0.0453373249,0.76445630815,0.75525845765
73,0.5348039216,0.128343369,0.8334539379,2.1910110221,-0.4137080084,0.1280392157,0.0826051228,0.8326789051,2.3382027824,0.4961391682,0.3371568627,0.0664561989,0.3754559584,4.418772023,0.7836363795,0.3371568627,0.0664561989,0.3754559584,4.418772023,0.7836363795,0.827745865305,0.8259858679500003
74,0.442849162,0.1102066856,0.8284235846,2.2733309897,-0.4579060575,0.0959776536,0.07010383,0.8222542869,2.9578355746,0.904629733,0.4611731844,0.0594412358,0.4204291255,2.3295482342,0.1212102464,0.4611731844,0.0594412358,0.4204291255,2.3295482342,0.1212102464,0.8400257183,0.8344997705999999
75,0.3363934426,0.0670461741,0.3381204557,2.8368245605,-0.3948061205,0.122295082,0.0753873808,0.6402583794,2.5115497377,0.6422103379,0.5413114754,0.060394208,0.0134526229,2.9357073157,-0.5624242833,0.5413114754,0.060394208,0.0134526229,2.9357073157,-0.5624242833,0.8424808337,0.84085938165
76,0.5880327869,0.0938401094,0.634227709,2.2521022872,-0.3729877389,0.0993442623,0.0836830251,0.9069162604,2.6465291017,0.9399999236,0.3126229508,0.0504374841,0.0147214651,2.360998006,0.2866788373,0.3126229508,0.0504374841,0.0147214651,2.360998006,0.2866788373,0.84376059465,0.8436464057
77,0.3267777778,0.0728899898,0.6197409709,2.23214706,0.3597998573,0.1115555556,0.0625372975,0.7874822053,2.0551935931,0.1874011609,0.5616666667,0.0505579975,0.001661472,2.7799209332,0.3367189414,0.5616666667,0.0505579975,0.001661472,2.7799209332,0.3367189414,0.8262078466,0.8217539550000001
78,0.4152348993,0.124062032,0.8790845856,2.087273817,-0.0105275224,0.0967785235,0.0752558808,0.8297480359,2.9639397719,0.9388613535,0.4879865772,0.070644016,0.5372795847,3.1220847943,-0.2200101132,0.4879865772,0.070644016,0.5372795847,3.1220847943,-0.2200101132,0.84148335516,0.8344106013099999
79,0.4643333333,0.1092301342,0.8458782409,1.9217022959,0.0163023904,0.13,0.065064071,0.821071753,2.4426684853,0.4022685324,0.4056666667,0.0628056968,0.519793271,2.2537908158,0.1547072437,0.4056666667,0.0628056968,0.519793271,2.2537908158,0.1547072437,0.8695992042599998,0.8688230571
8,0.4678518519,0.1100126941,0.775257664,2.2913619238,-0.3384988863,0.1001481481,0.0721930045,0.8273403369,3.4573988285,0.9823309748,0.432,0.0592146128,0.3030731101,2.5448099304,0.0239658971,0.432,0.0592146128,0.3030731101,2.5448099304,0.0239658971,0.8424856735749999,0.834717254275
