Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
175,0.282,0.0495580468,-0.3912579957,2.2768464387,0.8269840323,0.276,0.0488262225,0.042409963,2.5180509887,-0.6333927332,0.442,0.0337045991,-0.3644948064,1.2910632811,0.0150437112,0.442,0.0337045991,-0.3644948064,1.2910632811,0.0150437112,0.8739525856250001,0.816929778907
176,0.342,0.0470744092,-0.1099184199,2.6215707229,1.0822408451,0.178,0.0348711915,0.8479427549,2.3118507618,0.8184255374,0.48,0.0433589668,-0.4222222222,2.1106835672,-0.3091460963,0.48,0.0433589668,-0.4222222222,2.1106835672,-0.3091460963,0.7495472415555999,0.7472385977548999
177,0.268,0.016,-0.783919598,1.4189453125,0.03515625,0.264,0.0257681975,-0.5306122449,2.3327768907,0.8163607337,0.468,0.0324961536,-0.4746019712,2.5914256198,-0.6951871706,0.468,0.0324961536,-0.4746019712,2.5914256198,-0.6951871706,0.975911689685,0.9554951052985002
178,0.216,0.028,-0.9609261939,1.9380466472,-0.5160349854,0.31,0.0303315018,0.2,2.1219281664,-0.3870276692,0.474,0.0392937654,-0.6755793226,2.7004886037,-1.1108039135,0.474,0.0392937654,-0.6755793226,2.7004886037,-1.1108039135,0.8447759138678501,0.8432967255427999
179,0.258,0.0376297754,0.4514237856,2.066791152,0.4035751077,0.23,0.0428952212,-0.843373494,1.7131379962,-0.6385630752,0.512,0.0538144962,0.0237355185,2.3754845701,0.9831194398,0.512,0.0538144962,0.0237355185,2.3754845701,0.9831194398,0.9360133644900002,0.8764660601375001
18,0.26,0.0340587727,-0.6724137931,1.905469679,-0.0,0.168,0.0457820926,-0.5534648922,1.4246401725,0.1290547595,0.572,0.0587877538,-0.5197215777,2.4361979167,1.0269996057,0.572,0.0587877538,-0.5197215777,2.4361979167,1.0269996057,0.8968827953849999,0.8664405533374999
180,0.248,0.0263818119,-0.0011709602,2.3953626635,-0.9593861448,0.232,0.0483321839,-0.4216366158,2.5052542691,0.8978957038,0.52,0.0303315018,-0.6904761905,1.4413988658,-0.1290092231,0.52,0.0303315018,-0.6904761905,1.4413988658,-0.1290092231,0.9188002795499999,0.8994996996486998
181,0.256,0.0338230691,0.0979782271,1.2465401731,-0.3982054807,0.278,0.0416653333,-0.6945218199,1.4837966404,-0.0079633885,0.466,0.0492341345,-0.6571139582,2.1698362906,-0.0406222232,0.466,0.0492341345,-0.6571139582,2.1698362906,-0.0406222232,0.85896710314,0.7917142666929999
182,0.218,0.0324961536,-0.1559139785,1.4421487603,-0.3804646085,0.27,0.020976177,-0.5555555556,1.3429752066,-0.3900528774,0.512,0.0376297754,-0.0546378653,1.6071531169,0.4071784569,0.512,0.0376297754,-0.0546378653,1.6071531169,0.4071784569,0.8078708740049999,0.7729355449825001
183,0.214,0.0332264955,-0.3287250384,2.1472904852,-0.3192842191,0.304,0.0344093011,-0.3669821241,1.9226168736,-0.2226770648,0.482,0.0074833148,-0.4814814815,1.8469387755,-0.3436215967,0.482,0.0074833148,-0.4814814815,1.8469387755,-0.3436215967,0.8387606303449999,0.8060969822745001
184,0.27,0.0675277721,-0.6394557823,2.0717913204,0.3663210165,0.23,0.0303315018,0.2222222222,1.4413988658,-0.1290092231,0.5,0.0764198927,-0.1622807018,2.0606586602,-0.6130513066,0.5,0.0764198927,-0.1622807018,2.0606586602,-0.6130513066,0.868978334675,0.8111780785625001
185,0.356,0.0591945943,-0.3601006635,2.1756896228,0.1837450269,0.19,0.0469041576,-0.2727272727,1.6669421488,0.1744369497,0.454,0.018547237,-0.6983372922,2.4826933478,-0.9704949588,0.454,0.018547237,-0.6983372922,2.4826933478,-0.9704949588,0.8346604942220001,0.8328251986765499
186,0.242,0.0396988665,-0.7298716453,2.0668015151,0.6766677878,0.274,0.0372021505,-0.7832167832,1.3849610745,-0.3859556859,0.484,0.0504380809,-1.1487603306,2.018838258,0.6905534091,0.484,0.0504380809,-1.1487603306,2.018838258,0.6905534091,0.7568659130500002,0.7000578398739998
