Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
406,0.4472072072,0.1080471299,0.5267479198,2.4280690476,-0.1689836074,0.1248648649,0.0728427266,0.5524136529,2.6689701794,0.7139787067,0.4279279279,0.0711946591,0.1160622263,3.171369254,0.2653144088,0.4279279279,0.0711946591,0.1160622263,3.171369254,0.2653144088,0.9097272916950001,0.855581268007
407,0.3995833333,0.1238607809,0.6330880421,2.18765276,0.2678706336,0.1308333333,0.0768069369,0.6192435091,3.6400688699,0.8371841468,0.4695833333,0.0874632859,0.3162213353,2.3337735896,-0.0896445944,0.4695833333,0.0874632859,0.3162213353,2.3337735896,-0.0896445944,0.812455572787,0.7978792536982999
408,0.357254902,0.0875388638,0.2674752698,2.5751609234,-0.107462588,0.1480392157,0.0675196299,0.4040367974,3.3478703087,0.6116512046,0.4947058824,0.0826960639,-0.1526877334,2.2207564954,-0.1592518597,0.4947058824,0.0826960639,-0.1526877334,2.2207564954,-0.1592518597,0.9513925648299999,0.9040575925045001
409,0.3857142857,0.1008535005,0.6082580188,2.4907247333,0.5062501224,0.1273469388,0.0777955329,0.4909640774,3.6019570383,0.9038427845,0.4869387755,0.0821696623,0.0946770149,3.2770558367,-0.2418702008,0.4869387755,0.0821696623,0.0946770149,3.2770558367,-0.2418702008,0.8257071027549999,0.8064927363935
41,0.3835955056,0.1157510617,0.6256743679,2.2183235253,0.1907846446,0.151011236,0.0850121597,0.6572298443,2.0758130871,0.1308252237,0.4653932584,0.0812688171,0.1819687094,2.6835541611,0.0397604279,0.4653932584,0.0812688171,0.1819687094,2.6835541611,0.0397604279,0.8055914050149999,0.7804666901325001
410,0.4214035088,0.1021082775,0.5804705897,2.114337772,-0.0850078699,0.0971929825,0.0694275941,0.5892966609,4.9443530936,1.2629401321,0.4814035088,0.0779437178,0.0127553808,2.4341795204,0.4290989344,0.4814035088,0.0779437178,0.0127553808,2.4341795204,0.4290989344,0.9997000053225001,0.9881645022582998
411,0.3349367089,0.0996941324,0.5753112938,3.0279931192,0.1406404867,0.1270886076,0.0752405745,0.5912991971,3.9122459472,0.8486552349,0.5379746835,0.0729553313,-0.0804600728,2.5305693851,-0.1206336444,0.5379746835,0.0729553313,-0.0804600728,2.5305693851,-0.1206336444,0.857166202855,0.8300654597970001
412,0.3698666667,0.1018429292,0.5283012853,2.419620676,0.4677168966,0.1544,0.0740133321,0.5767743066,2.6177740919,0.4728791464,0.4757333333,0.0760556521,0.0287981483,2.7463008916,0.0802201166,0.4757333333,0.0760556521,0.0287981483,2.7463008916,0.0802201166,0.9428671810100001,0.9030570741325
413,0.4818461538,0.0793607597,-0.0687698774,2.789128016,-0.2278872932,0.1430769231,0.0637524799,0.3181151609,3.5073831858,0.5637834001,0.3750769231,0.0645009977,-0.001113755,2.6395844972,0.2826243246,0.3750769231,0.0645009977,-0.001113755,2.6395844972,0.2826243246,0.9629525009750001,0.936801354926
414,0.3164912281,0.0824300071,0.2976681097,2.3356205857,0.0741514847,0.1459649123,0.0755763736,0.5738957078,3.3393473722,0.7807133763,0.5375438596,0.0743694123,-0.0136640001,3.0924210222,0.4795728756,0.5375438596,0.0743694123,-0.0136640001,3.0924210222,0.4795728756,0.87307919208,0.8319441549759998
415,0.3469565217,0.1008845566,0.4288431524,3.1486793957,0.108527704,0.1046376812,0.073987459,0.5862474897,4.3535881815,1.1783315331,0.5484057971,0.0782716042,-0.0132203583,3.1210828991,-0.3802359334,0.5484057971,0.0782716042,-0.0132203583,3.1210828991,-0.3802359334,0.84645504618,0.8023175741419999
416,0.341038961,0.0806400438,-0.0455204892,2.4657185189,0.3330351627,0.1122077922,0.0538546234,0.458072497,2.821701897,0.209611211,0.5467532468,0.079322481,-0.1397924276,2.7856777764,-0.3243054481,0.5467532468,0.079322481,-0.1397924276,2.7856777764,-0.3243054481,0.80375316266,0.765433781032
417,0.3547368421,0.0749995383,0.1361599216,2.4164353548,-0.0770697358,0.1305263158,0.0540442006,0.2745566609,3.2192721993,0.5152674356,0.5147368421,0.0715518525,-0.0933836206,2.4271907981,0.0670492572,0.5147368421,0.0715518525,-0.0933836206,2.4271907981,0.0670492572,0.9541447571549998,0.910094914331
418,0.3605479452,0.0875838606,0.3186279014,2.7793421818,-0.499959278,0.1298630137,0.0595069502,0.1275390069,2.216933203,-0.0618085262,0.5095890411,0.0864590862,0.1213315935,2.5331585557,0.279225654,0.5095890411,0.0864590862,0.1213315935,2.5331585557,0.279225654,0.9122772656099999,0.8587672246379998
419,0.4309090909,0.1346682486,0.837229049,1.8575619324,0.1111079647,0.1218181818,0.0819997984,0.7286817854,2.7842662931,0.738086307,0.4472727273,0.0843252264,0.3682169659,2.3419077241,0.4259080947,0.4472727273,0.0843252264,0.3682169659,2.3419077241,0.4259080947,0.849819944793,0.8469716421485
42,0.426875,0.1006987308,0.5261865682,2.4439665939,0.5291137941,0.11375,0.0838804953,0.5356035784,2.1463968872,0.6721159052,0.459375,0.0727125118,-0.0045945777,2.3547751434,-0.2479884326,0.459375,0.0727125118,-0.0045945777,2.3547751434,-0.2479884326,0.7671466464555001,0.756605438015
